This document was exported from the paperMoney® platform which provides a simulated trading environment. All data contained herein is for educational and entertainment purposes only. TD Ameritrade its subsidiaries and/or affiliates are not responsible for the accuracy of any of these exported data.

Position Statement for <TOTAL> (ALL ACCOUNTS) on 2/21/15 12:02:14

Equities and Equity Options
Instrument,Qty,Days,Trade Price,Mark,Mrk Chng,Delta,Gamma,Theta,Vega,% Change,P/L Open,P/L Day,BP Effect
Cash & Sweep Vehicle,"$37,595.12"
OVERALL P/L YTD,"($5,264.43)"
BP ADJUSTMENT,$0.00
OVERNIGHT FUTURES BP,"$23,179.07"
AVAILABLE DOLLARS,"$23,179.07"

Forex
Instrument,Qty,Trade Price,Mark,Mrk Chng,% Change,P/L Open,P/L Day,BP Effect
AUD/SGD,0,.00,1.0665,+.0049,0.00%,$0.00,$17.64,$0.00
AusDollar/Singapore Dollar Spot,0,.00,1.06650,+.0049,,$0.00,$17.64,
GBP/USD,0,.00,1.54036,-.002405,+0.04%,$0.00,$0.00,$0.00
GBPound/US Dollar Spot,0,.00,1.54036,-.002405,,$0.00,$0.00,
HKD/JPY,+10000,15.34701,15.3469,+.01525,0.00%,($2.72),$0.01,($130.18)
HKDollar/Japanese Yen Spot,+10000,15.34701,15.34690,+.01525,,($2.72),$0.01,
USD/INR,+10000,62.2025,62.205,0,0.00%,($1.61),($1.61),($500.40)
USDollar/Indian Rupee Spot,+10000,62.2025,62.2050,0,,($1.61),($1.61),
USD/JPY,+10000,119.0695,119.068,+.145,0.00%,($76.20),$9.28,($203.07)
USDollar/Japanese Yen Spot,+10000,119.0695,119.068,+.145,,($76.20),$9.28,
USD/THB,-10000,32.514,32.54,-.023,0.00%,($56.51),($23.97),($531.04)
USDollar/Thai Baht,-10000,32.514,32.540,-.023,,($56.51),($23.97),

FOREX CASH WITH UPL,"$10,529.98"
AVAILABLE DOLLARS,"$9,165.30"
