This document was exported from the paperMoney® platform which provides a simulated trading environment. All data contained herein is for educational and entertainment purposes only. TD Ameritrade its subsidiaries and/or affiliates are not responsible for the accuracy of any of these exported data.

Position Statement for <TOTAL> (ALL ACCOUNTS) on 2/6/15 05:08:12

Equities and Equity Options
Instrument,Qty,Days,Trade Price,Mark,Mrk Chng,Delta,Gamma,Theta,Vega,% Change,P/L Open,P/L Day,BP Effect
PG,,,,,,59.01,-9.42,1.59,-11.65,+1.06%,$81.50,$60.50,"$7,366.95"
PROCTER GAMBLE CO COM,+100,,85.74,86.70,+.91,100.00,.00,.00,.00,,$96.00,$91.00,
100 MAR 15 87.5 CALL,-1,43,1.05,1.195,+.305,-40.99,-9.42,1.59,-11.65,,($14.50),($30.50),
SNDK,,,,,,-67.27,-4.45,3.40,-9.80,+0.78%,($39.50),($4.00),"($9,007.19)"
SANDISK CORP COM,-100,,76.95,78.24,+.34,-100.00,.00,.00,.00,,($129.00),($34.00),
100 MAR 15 75 PUT,-1,43,2.74,1.845,-.30,32.73,-4.45,3.40,-9.80,,$89.50,$30.00,
SPY,,,,,,15.19,-.96,.43,-5.17,+1.01%,$85.50,$39.00,($510.54)
SPDR TR S&P 500 ETF TR,0,,.00,205.96,+1.90,.00,.00,.00,.00,,$0.00,$0.00,
100 MAR 15 199 PUT,+3,43,4.43,2.45,-.885,-87.14,7.91,-15.78,73.46,,($594.00),($265.50),
100 MAR 15 201 PUT,-3,43,5.18,2.915,-1.015,102.34,-8.87,16.22,-78.63,,$679.50,$304.50,
TSLA,,,,,,4.87,-.10,.44,-1.74,+1.12%,$112.50,$67.50,($147.50)
TESLA MOTORS INC COM,0,,.00,220.99,+2.44,.00,.00,.00,.00,,$0.00,$0.00,
100 MAR 15 205 CALL,+1,43,13.95,23.65,+2.25,70.33,.93,-14.64,26.53,,$970.00,$225.00,
100 MAR 15 210 CALL,-1,43,11.55,20.125,+1.575,-65.46,-1.03,15.08,-28.27,,($857.50),($157.50),
USLV,+100,,24.95,24.47,-.24,100.00,.00,.00,.00,-0.89%,($48.00),($24.00),"$2,079.95"
CREDIT SUISSE AG VELOCITY 3X LONG SILVER ETN,+100,,24.95,24.47,-.24,100.00,.00,.00,.00,,($48.00),($24.00),
VXX,,,,,,39.20,4.13,-4.07,4.39,-3.63%,($46.00),($78.50),$79.56
BARCLAYS BANK PLC IPATH S&P 500 VIX SHORT TERM,0,,.00,32.89,-1.26,.00,.00,.00,.00,,$0.00,$0.00,
100 MAR 15 37 CALL,+1,43,2.67,2.21,-.785,39.20,4.13,-4.07,4.39,,($46.00),($78.50),
WFC,,,,,,38.76,-11.18,.56,-4.63,+1.21%,$73.00,$34.00,($462.82)
WELLS FARGO & CO COM,0,,.00,53.66,+.63,.00,.00,.00,.00,,$0.00,$0.00,
100 MAR 15 50 PUT,+2,43,.68,.355,-.11,-33.07,12.75,-2.32,9.28,,($65.00),($22.00),
100 MAR 15 52.5 PUT,-2,43,1.48,.79,-.28,71.83,-23.93,2.88,-13.91,,$138.00,$56.00,
XOM,,,,,,-83.46,-3.13,2.35,-7.98,+0.98%,($339.50),($66.00),"($10,619.94)"
EXXON MOBIL CORPORATION COM,-100,,87.05,92.34,+.88,-100.00,.00,.00,.00,,($529.00),($88.00),
100 MAR 15 85 PUT,-1,43,2.62,.725,-.22,16.54,-3.13,2.35,-7.98,,$189.50,$22.00,

Futures and Futures Options
Instrument,Exp,SPC,Qty,Days,Trade Price,Mark,Mrk Chng,% Change,P/L Open,P/L Day,BP Effect
/NG,,,+1,,2.68,2.604,+.004,-2.18%,($760.00),$40.00,"($4,235.00)"
"Natural Gas Futures,Mar-2015,ETH",FEB4 15,1/10000,+1,20,2.68,2.604,+.004,,($760.00),$40.00,
/NQ,,,-1,,4153.50,4248.50,+44.50,+1.06%,"($1,900.00)",($890.00),"($3,960.00)"
"E-mini Nasdaq 100 Index Futures,Mar-2015,ETH",MAR 15,1/20,-1,43,4153.50,4248.50,+44.50,,"($1,900.00)",($890.00),
/QM,,,-1,,44.55,50.75,+.27,+4.75%,"($3,100.00)",($135.00),"($2,448.00)"
"NYMEX miNY Light Sweet Crude Oil Futures,Mar-2015,ETH",FEB 15,1/500,-1,14,44.55,50.750,+.27,,"($3,100.00)",($135.00),
/ZW,,,+1,,507.75,526.50,+.75,+3.03%,$937.50,$37.50,"($1,430.00)"
"Wheat Futures,Mar-2015,ETH",MAR2 15,1/50,+1,36,507.75,526.50,+.75,,$937.50,$37.50,

Cash & Sweep Vehicle,"$47,965.91"
OVERALL P/L YTD,"($4,512.86)"
BP ADJUSTMENT,$0.00
OVERNIGHT FUTURES BP,"$25,417.22"
AVAILABLE DOLLARS,"$25,417.22"

Forex
Instrument,Qty,Trade Price,Mark,Mrk Chng,% Change,P/L Open,P/L Day,BP Effect
AUD/SGD,+10000,1.045606,1.04995,+.00255,0.00%,$42.37,$16.74,($360.51)
AusDollar/Singapore Dollar Spot,+10000,1.045606,1.04995,+.00255,,$42.37,$16.74,
GBP/USD,0,.00,1.533355,+.013,+0.99%,$0.00,$0.00,$0.00
GBPound/US Dollar Spot,0,.00,1.533355,+.013,,$0.00,$0.00,
HKD/JPY,+10000,15.1276,15.15745,+.0268,0.00%,($0.76),$1.79,($62.44)
HKDollar/Japanese Yen Spot,+10000,15.1276,15.15745,+.0268,,($0.76),$1.79,
USD/JPY,+10000,117.2685,117.505,+.1925,+0.19%,($73.89),$15.53,($180.72)
USDollar/Japanese Yen Spot,+10000,117.2685,117.505,+.1925,,($73.89),$15.53,
USD/SEK,+10000,8.285825,8.24543,-.03442,+0.35%,($53.53),($45.72),($252.97)
USDollar/Swedish Krona Spot,+10000,8.285825,8.24543,-.03442,,($53.53),($45.72),
USD/THB,0,.00,32.597,-.008,0.00%,$0.00,$0.00,($500.00)
USDollar/Thai Baht,0,.00,32.597,-.008,,$0.00,$0.00,

FOREX CASH WITH UPL,"$10,024.59"
AVAILABLE DOLLARS,"$8,667.94"
