Position Statement for 865073982 () on 8/2/14 07:41:59


Group "MARKET LONG"

None
Instrument,Qty,Days,Trade Price,Mark,Mrk Chng,Delta,Gamma,Theta,Vega,% Change,P/L Open,P/L Day,BP Effect
100 AUG 14 41.5 CALL,+1,14,.19,.06,-.09,9.43,12.00,-.78,1.35,,($13.00),($9.00),
QCOM,,,,,,-7.65,-2.86,.59,-1.09,-1.59%,$26.50,$12.50,($100.00)
QUALCOMM INC COM,0,,.00,72.65,-1.07,.00,.00,.00,.00,,$0.00,$0.00,
100 AUG 14 75 CALL,-1,14,.94,.315,-.305,-20.44,-10.10,2.55,-4.18,,$62.50,$30.50,
100 AUG 14 76 CALL,+1,14,.54,.18,-.18,12.79,7.24,-1.96,3.08,,($36.00),($18.00),
TLT,,,,,,-3.50,-34.24,-1.80,-.39,+0.77%,$79.00,$13.50,($200.00)
ISHARES 20+ YR TREASURY BND ETF,0,,.00,114.56,+.58,.00,.00,.00,.00,,$0.00,$0.00,
100 (Weeklys) AUG1 14 115 CALL,-1,0,1.05,.005,-.165,-4.87,-37.41,1.56,-.60,,$104.50,$16.50,
100 (Weeklys) AUG1 14 117 CALL,+1,0,.26,.005,-.03,1.37,3.18,-3.36,.21,,($25.50),($3.00),


Group "NORMAL UNDECIDE"

None
Instrument,Qty,Days,Trade Price,Mark,Mrk Chng,Delta,Gamma,Theta,Vega,% Change,P/L Open,P/L Day,BP Effect
CELG,,,,,,13.10,-.24,-.15,-.01,-0.57%,($15.00),($7.50),($150.00)
CELGENE CORP COM,0,,.00,86.65,-.50,.00,.00,.00,.00,,$0.00,$0.00,
100 AUG 14 86 PUT,+1,14,1.26,1.525,+.13,-43.22,8.51,-5.93,6.91,,$26.50,$13.00,
100 AUG 14 87.5 PUT,-1,14,1.84,2.255,+.205,56.31,-8.75,5.78,-6.92,,($41.50),($20.50),
CLF,,,,,,23.25,-4.14,.24,-.20,-0.57%,$20.50,$0.00,$0.00
CLIFFS NATURAL RESOURCES INC COM,0,,.00,17.35,-.10,.00,.00,.00,.00,,$0.00,$0.00,
100 AUG 14 16.5 CALL,+1,14,.76,1.155,-.105,71.03,20.31,-1.81,1.20,,$39.50,($10.50),
100 AUG 14 17.5 CALL,-1,14,.38,.57,-.105,-47.78,-24.45,2.06,-1.40,,($19.00),$10.50,
DDD,,,,,,7.91,-.26,.17,-.11,-4.39%,($10.00),($10.00),($100.00)
3 D SYSTEMS CORP COM,0,,.00,47.95,-2.18,.00,.00,.00,.00,,$0.00,$0.00,
100 AUG 14 47 PUT,+1,14,1.39,1.545,+.43,-40.31,7.69,-6.38,3.76,,$15.50,$15.50,
100 AUG 14 48 PUT,-1,14,1.77,2.025,+.59,48.22,-7.95,6.54,-3.87,,($25.50),($25.50),
FB,,,,,,-7.99,-.67,.61,-.52,-0.40%,$8.00,$2.00,($100.00)
FACEBOOK INC COM,0,,.00,72.31,-.34,.00,.00,.00,.00,,$0.00,$0.00,
100 AUG 14 74 CALL,-1,14,1.71,1.12,-.24,-36.95,-8.28,5.75,-5.53,,$59.00,$24.00,
100 AUG 14 75 CALL,+1,14,1.30,.79,-.22,28.96,7.61,-5.14,5.01,,($51.00),($22.00),
HLF,,,,,,6.18,.24,-.70,.26,+0.32%,($15.50),$15.00,($100.00)
HERBALIFE LTD COM,0,,.00,52.65,+.25,.00,.00,.00,.00,,$0.00,$0.00,
100 AUG 14 55 PUT,+1,14,2.10,3.90,-.15,-61.92,6.03,-7.83,4.06,,$180.00,($15.00),
100 AUG 14 56 PUT,-1,14,2.57,4.525,-.30,68.10,-5.79,7.13,-3.80,,($195.50),$30.00,
LVS,,,,,,11.74,.06,-.13,.14,-1.53%,($13.50),($11.50),($100.00)
LAS VEGAS SANDS CORP COM,0,,.00,72.72,-1.13,.00,.00,.00,.00,,$0.00,$0.00,
100 AUG 14 72.5 PUT,+1,14,.90,1.29,+.35,-47.25,11.62,-4.69,5.86,,$39.00,$35.00,
100 AUG 14 73.5 PUT,-1,14,1.29,1.815,+.465,58.99,-11.56,4.57,-5.72,,($52.50),($46.50),
MU,,,,,,12.78,-2.30,.40,-.35,+1.77%,$6.50,$8.50,($100.00)
MICRON TECHNOLOGY INC COM,0,,.00,31.09,+.54,.00,.00,.00,.00,,$0.00,$0.00,
100 AUG 14 29.5 PUT,+1,14,.59,.50,-.215,-26.94,11.46,-3.14,2.08,,($9.00),($21.50),
100 AUG 14 30.5 PUT,-1,14,.99,.835,-.30,39.72,-13.76,3.54,-2.43,,$15.50,$30.00,
P,,,,,,12.30,2.30,-.48,.29,-2.31%,($10.00),($8.00),$0.00
PANDORA MEDIA INC COM,0,,.00,24.54,-.58,.00,.00,.00,.00,,$0.00,$0.00,
100 AUG 14 25.5 CALL,+1,14,.98,.67,-.27,38.26,14.33,-3.39,1.90,,($31.00),($27.00),
100 AUG 14 26.5 CALL,-1,14,.61,.40,-.19,-25.97,-12.04,2.91,-1.61,,$21.00,$19.00,
TSLA,,,,,,5.18,-.12,1.29,-1.06,+4.46%,$8.00,$8.00,($250.00)
TESLA MOTORS INC COM,0,,.00,233.27,+9.97,.00,.00,.00,.00,,$0.00,$0.00,
100 AUG 14 225 PUT,+1,14,4.91,3.675,-9.675,-30.60,1.95,-20.76,16.59,,($123.50),($123.50),
100 AUG 14 227.5 PUT,-1,14,5.89,4.575,-9.80,35.78,-2.07,22.04,-17.65,,$131.50,$131.50,

Cash & Sweep Vehicle,"$3,903.36"
OVERALL P/L YTD,"($5,729.02)"
BP ADJUSTMENT,$0.00
OVERNIGHT FUTURES BP,"$1,653.36"
AVAILABLE DOLLARS,"$1,653.36"
