This document was exported from the paperMoney® platform which provides a simulated trading environment. All data contained herein is for educational and entertainment purposes only. TD Ameritrade its subsidiaries and/or affiliates are not responsible for the accuracy of any of these exported data.

Position Statement for <TOTAL> (ALL ACCOUNTS) on 2/11/15 05:31:02

Equities and Equity Options
Instrument,Qty,Days,Trade Price,Mark,Mrk Chng,Delta,Gamma,Theta,Vega,% Change,P/L Open,P/L Day,BP Effect
100 MAR 15 55 PUT,-2,38,1.46,.525,-.152,41.17,-13.07,3.34,-10.89,,$187.00,$30.40,
KO,,,,,,170.71,58.30,-2.66,16.25,+2.84%,$60.00,$103.50,$8.36
COCA COLA CO COM,0,,.00,42.40,+1.17,.00,.00,.00,.00,,$0.00,$0.00,
100 MAR 15 42 CALL,+3,38,.78,.98,+.345,170.71,58.30,-2.66,16.25,,$60.00,$103.50,
PG,,,,,,72.57,-8.95,1.42,-9.28,+0.40%,$8.50,$32.00,"$7,261.38"
PROCTER GAMBLE CO COM,+100,,85.74,85.39,+.34,100.00,.00,.00,.00,,($35.00),$34.00,
100 MAR 15 87.5 CALL,-1,38,1.05,.615,+.02,-27.43,-8.95,1.42,-9.28,,$43.50,($2.00),
SNDK,,,,,,-71.84,-4.39,3.38,-8.72,+2.78%,($77.50),($135.50),"($9,097.10)"
SANDISK CORP COM,-100,,76.95,79.05,+2.14,-100.00,.00,.00,.00,,($210.00),($214.00),
100 MAR 15 75 PUT,-1,38,2.74,1.415,-.785,28.16,-4.39,3.38,-8.72,,$132.50,$78.50,
SPY,,,,,,14.79,-1.03,.68,-5.54,+1.07%,$96.00,$31.50,($513.83)
SPDR TR S&P 500 ETF TR,0,,.00,206.75,+2.12,.00,.00,.00,.00,,$0.00,$0.00,
100 MAR 15 199 PUT,+3,38,4.43,2.095,-.695,-79.12,7.74,-16.47,66.25,,($700.50),($208.50),
100 MAR 15 201 PUT,-3,38,5.18,2.525,-.80,93.91,-8.77,17.15,-71.79,,$796.50,$240.00,
TSLA,,,,,,5.24,-.09,.11,-1.26,-0.55%,$100.00,$72.50,($160.00)
TESLA MOTORS INC COM,0,,.00,216.52,-.96,.00,.00,.00,.00,,$0.00,$0.00,
100 MAR 15 205 CALL,+1,38,13.95,20.625,+.325,65.96,1.01,-17.16,25.94,,$667.50,$32.50,
100 MAR 15 210 CALL,-1,38,11.55,17.225,-.40,-60.72,-1.10,17.27,-27.20,,($567.50),$40.00,
USLV,+100,,24.95,22.61,-.54,100.00,.00,.00,.00,-2.33%,($234.00),($54.00),"$1,921.85"
CREDIT SUISSE AG VELOCITY 3X LONG SILVER ETN,+100,,24.95,22.61,-.54,100.00,.00,.00,.00,,($234.00),($54.00),
VXX,,,,,,39.17,4.32,-4.38,4.16,-3.83%,($54.50),($79.50),$71.78
BARCLAYS BANK PLC IPATH S&P 500 VIX SHORT TERM,0,,.00,33.15,-1.32,.00,.00,.00,.00,,$0.00,$0.00,
100 MAR 15 37 CALL,+1,38,2.67,2.125,-.795,39.17,4.32,-4.38,4.16,,($54.50),($79.50),
XOM,,,,,,-81.74,-3.85,2.46,-7.88,-0.60%,($205.00),$52.50,"($10,467.14)"
EXXON MOBIL CORPORATION COM,-100,,87.05,91.01,-.55,-100.00,.00,.00,.00,,($396.00),$55.00,
100 MAR 15 85 PUT,-1,38,2.62,.71,+.025,18.26,-3.85,2.46,-7.88,,$191.00,($2.50),

Futures and Futures Options
Instrument,Exp,SPC,Qty,Days,Trade Price,Mark,Mrk Chng,% Change,P/L Open,P/L Day,BP Effect
/6J,,,+1,,.008389,.008376,-.000072,-0.85%,($162.50),($162.50),"($3,300.00)"
"Japanese Yen Futures,Mar-2015,ETH",MAR 15,1/12500000,+1,34,.008389,.008376,-.000072,,($162.50),($162.50),
/NG,,,+1,,2.68,2.693,+.016,+3.70%,$130.00,$160.00,"($4,235.00)"
"Natural Gas Futures,Mar-2015,ETH",FEB4 15,1/10000,+1,15,2.68,2.693,+.016,,$130.00,$160.00,
/NQ,,,-1,,4153.50,4277.50,+63.25,+1.50%,"($2,480.00)","($1,265.00)","($3,960.00)"
"E-mini Nasdaq 100 Index Futures,Mar-2015,ETH",MAR 15,1/20,-1,38,4153.50,4277.50,+63.25,,"($2,480.00)","($1,265.00)",
/QM,,,-1,,44.55,50.825,+.805,-3.83%,"($3,137.50)",($402.50),"($2,695.00)"
"NYMEX miNY Light Sweet Crude Oil Futures,Mar-2015,ETH",FEB 15,1/500,-1,9,44.55,50.825,+.805,,"($3,137.50)",($402.50),

Cash & Sweep Vehicle,"$48,852.42"
OVERALL P/L YTD,"($4,496.00)"
BP ADJUSTMENT,$0.00
OVERNIGHT FUTURES BP,"$24,437.70"
AVAILABLE DOLLARS,"$24,437.70"

Forex
Instrument,Qty,Trade Price,Mark,Mrk Chng,% Change,P/L Open,P/L Day,BP Effect
AUD/SGD,+10000,1.056079,1.0517,-.0076,0.00%,$12.85,($57.94),($422.33)
AusDollar/Singapore Dollar Spot,+10000,1.056079,1.05170,-.0076,,$12.85,($57.94),
HKD/JPY,+10000,15.30092,15.40355,+.1228,0.00%,$2.90,$9.81,($120.80)
HKDollar/Japanese Yen Spot,+10000,15.30092,15.40355,+.1228,,$2.90,$9.81,
USD/JPY,+10000,118.6198,119.4325,+.957,+0.68%,($43.80),$79.22,($132.86)
USDollar/Japanese Yen Spot,+10000,118.6198,119.4325,+.957,,($43.80),$79.22,
USD/SEK,0,.00,8.32165,-.02975,-0.45%,$0.00,$0.00,$0.00
USDollar/Swedish Krona Spot,0,.00,8.32165,-.02975,,$0.00,$0.00,
USD/THB,0,.00,32.635,+.036,0.00%,$0.00,$0.00,($500.00)
USDollar/Thai Baht,0,.00,32.635,+.036,,$0.00,$0.00,

FOREX CASH WITH UPL,"$10,352.12"
AVAILABLE DOLLARS,"$9,176.14"
