This document was exported from the paperMoney® platform which provides a simulated trading environment. All data contained herein is for educational and entertainment purposes only. TD Ameritrade its subsidiaries and/or affiliates are not responsible for the accuracy of any of these exported data.

Position Statement for <TOTAL> (ALL ACCOUNTS) on 2/14/15 07:40:10

Equities and Equity Options
Instrument,Qty,Days,Trade Price,Mark,Mrk Chng,Delta,Gamma,Theta,Vega,% Change,P/L Open,P/L Day,BP Effect
100 MAR 15 122 CALL,-2,35,2.81,1.04,+.045,-55.09,-10.60,5.89,-24.74,,$354.00,($9.00),
IBM,,,,,,56.99,8.22,-7.15,34.16,+1.19%,$54.00,$77.00,($15.61)
INTL BUSINESS MACHINES COM,0,,.00,160.40,+1.88,.00,.00,.00,.00,,$0.00,$0.00,
100 MAR 15 165 CALL,+2,35,1.16,1.43,+.385,56.99,8.22,-7.15,34.16,,$54.00,$77.00,
JPM,,,,,,13.64,-4.80,.88,-3.31,+0.17%,$108.80,$4.20,($349.11)
JP MORGAN CHASE & CO COM,0,,.00,59.67,+.10,.00,.00,.00,.00,,$0.00,$0.00,
100 MAR 15 52.5 PUT,+2,35,.76,.15,-.016,-13.00,4.97,-1.87,4.77,,($122.00),($3.20),
100 MAR 15 55 PUT,-2,35,1.46,.306,-.037,26.64,-9.77,2.74,-8.08,,$230.80,$7.40,
KO,,,,,,145.33,71.55,-2.40,15.69,-0.43%,($46.50),($48.00),$6.50
COCA COLA CO COM,0,,.00,41.99,-.18,.00,.00,.00,.00,,$0.00,$0.00,
100 MAR 15 42 CALL,+3,35,.78,.625,-.16,145.33,71.55,-2.40,15.69,,($46.50),($48.00),
PG,,,,,,69.68,-10.42,1.44,-9.40,-0.15%,$57.50,($5.00),"$7,302.38"
PROCTER GAMBLE CO COM,+100,,85.74,85.90,-.13,100.00,.00,.00,.00,,$16.00,($13.00),
100 MAR 15 87.5 CALL,-1,35,1.05,.635,-.08,-30.32,-10.42,1.44,-9.40,,$41.50,$8.00,
SNDK,,,,,,-85.40,-2.84,2.61,-5.96,+0.62%,($375.50),($42.00),"($9,521.54)"
SANDISK CORP COM,-100,,76.95,82.81,+.51,-100.00,.00,.00,.00,,($586.00),($51.00),
100 MAR 15 75 PUT,-1,35,2.74,.635,-.09,14.60,-2.84,2.61,-5.96,,$210.50,$9.00,
SPY,,,,,,11.82,-1.20,1.18,-6.83,+0.41%,$142.50,$13.50,($494.62)
SPDR TR S&P 500 ETF TR,0,,.00,209.92,+1.00,.00,.00,.00,.00,,$0.00,$0.00,
100 MAR 15 199 PUT,+3,35,4.43,1.105,-.23,-51.03,6.42,-12.87,50.16,,($997.50),($69.00),
100 MAR 15 201 PUT,-3,35,5.18,1.38,-.275,62.86,-7.62,14.05,-56.99,,"$1,140.00",$82.50,
TSLA,,,,,,8.18,.01,-.70,.74,+0.44%,($20.00),$2.50,$145.00
TESLA MOTORS INC COM,0,,.00,202.50,-.38,.00,.00,.00,.00,,$0.00,$0.00,
100 MAR 15 205 CALL,+1,35,13.95,8.65,-.125,48.45,1.63,-13.62,25.34,,($530.00),($12.50),
100 MAR 15 210 CALL,-1,35,11.55,6.45,-.15,-40.27,-1.62,12.93,-24.61,,$510.00,$15.00,
USLV,+100,,24.95,24.06,+1.7599,100.00,.00,.00,.00,+7.89%,($89.00),$175.99,"$2,045.10"
CREDIT SUISSE AG VELOCITY 3X LONG SILVER ETN,+100,,24.95,24.06,+1.7599,100.00,.00,.00,.00,,($89.00),$175.99,
VXX,,,,,,27.38,4.29,-3.60,3.22,-1.21%,($151.50),($15.00),$34.80
BARCLAYS BANK PLC IPATH S&P 500 VIX SHORT TERM,0,,.00,30.79,-.56,.00,.00,.00,.00,,$0.00,$0.00,
100 MAR 15 37 CALL,+1,35,2.67,1.155,-.15,27.38,4.29,-3.60,3.22,,($151.50),($15.00),
XOM,,,,,,-90.26,-2.55,1.69,-5.07,+1.08%,($400.00),($87.00),"($10,734.95)"
EXXON MOBIL CORPORATION COM,-100,,87.05,93.35,+.98,-100.00,.00,.00,.00,,($630.00),($98.00),
100 MAR 15 85 PUT,-1,35,2.62,.32,-.11,9.74,-2.55,1.69,-5.07,,$230.00,$11.00,

Futures and Futures Options
Instrument,Exp,SPC,Qty,Days,Trade Price,Mark,Mrk Chng,% Change,P/L Open,P/L Day,BP Effect
/6J,,,+1,,.008389,.00842,0,+0.07%,$387.50,$0.00,"($3,300.00)"
"Japanese Yen Futures,Mar-2015,ETH",MAR 15,1/12500000,+1,31,.008389,.008420,0,,$387.50,$0.00,
/NQ,,,-1,,4153.50,4380.00,+3.00,+0.81%,"($4,530.00)",($60.00),"($3,960.00)"
"E-mini Nasdaq 100 Index Futures,Mar-2015,ETH",MAR 15,1/20,-1,35,4153.50,4380.00,+3.00,,"($4,530.00)",($60.00),
/QM,,,-1,,44.55,52.675,-.105,+2.88%,"($4,062.50)",$52.50,"($2,695.00)"
"NYMEX miNY Light Sweet Crude Oil Futures,Mar-2015,ETH",FEB 15,1/500,-1,6,44.55,52.675,-.105,,"($4,062.50)",$52.50,

Cash & Sweep Vehicle,"$46,111.20"
OVERALL P/L YTD,"($5,913.20)"
BP ADJUSTMENT,$0.00
OVERNIGHT FUTURES BP,"$25,788.57"
AVAILABLE DOLLARS,"$25,788.57"

Forex
Instrument,Qty,Trade Price,Mark,Mrk Chng,% Change,P/L Open,P/L Day,BP Effect
AUD/SGD,+10000,1.0492,1.05235,-.0007,0.00%,$13.29,($12.55),($372.52)
AusDollar/Singapore Dollar Spot,+10000,1.0492,1.05235,-.0007,,$13.29,($12.55),
GBP/USD,+10000,1.5382,1.54025,-.00024,0.00%,$63.20,($6.40),($291.55)
GBPound/US Dollar Spot,+10000,1.5382,1.54025,-.00024,,$63.20,($6.40),
HKD/JPY,+10000,15.3616,15.3111,+.0221,0.00%,($5.68),$0.60,($134.43)
HKDollar/Japanese Yen Spot,+10000,15.3616,15.31110,+.0221,,($5.68),$0.60,
USD/JPY,+10000,119.12,118.747,+.1895,0.00%,($103.06),$13.01,($234.35)
USDollar/Japanese Yen Spot,+10000,119.12,118.747,+.1895,,($103.06),$13.01,
USD/SEK,0,.00,8.42035,-.00895,0.00%,$0.00,$0.00,$0.00
USDollar/Swedish Krona Spot,0,.00,8.42035,-.00895,,$0.00,$0.00,
USD/THB,0,.00,32.599,-.012,0.00%,$0.00,$0.00,($500.00)
USDollar/Thai Baht,0,.00,32.599,-.012,,$0.00,$0.00,

FOREX CASH WITH UPL,"$10,393.92"
AVAILABLE DOLLARS,"$8,861.06"
