This document was exported from the paperMoney® platform which provides a simulated trading environment. All data contained herein is for educational and entertainment purposes only. TD Ameritrade its subsidiaries and/or affiliates are not responsible for the accuracy of any of these exported data.

Position Statement for <TOTAL> (ALL ACCOUNTS) on 2/20/15 12:10:29

Equities and Equity Options
Instrument,Qty,Days,Trade Price,Mark,Mrk Chng,Delta,Gamma,Theta,Vega,% Change,P/L Open,P/L Day,BP Effect
100 MAR 15 55 CALL,-2,29,1.33,3.04,+.54,-160.29,-16.74,3.15,-9.21,,($342.00),($108.00),
100 MAR 15 57.5 CALL,+2,29,.53,1.36,+.31,106.24,24.80,-4.29,13.14,,$166.00,$62.00,
FB,,,,,,24.19,-3.54,1.54,-4.20,+3.53%,$111.00,$78.50,($449.88)
FACEBOOK INC COM,0,,.00,79.42,+2.71,.00,.00,.00,.00,,$0.00,$0.00,
100 MAR 15 72.5 PUT,+1,29,1.54,.325,-.38,-10.80,3.07,-1.87,4.24,,($121.50),($38.00),
100 MAR 15 77.5 PUT,-1,29,3.70,1.375,-1.165,34.99,-6.61,3.42,-8.43,,$232.50,$116.50,
FSLR,,,,,,21.56,-1.43,1.25,-1.47,-0.88%,$16.50,($1.00),($347.82)
FIRST SOLAR INC COM,0,,.00,48.41,-.43,.00,.00,.00,.00,,$0.00,$0.00,
100 MAR 15 42.5 PUT,+1,29,1.81,1.09,+.085,-20.56,3.30,-4.07,3.95,,($72.00),$8.50,
100 MAR 15 47.5 PUT,-1,29,3.70,2.815,+.095,42.12,-4.73,5.32,-5.43,,$88.50,($9.50),
GLD,,,,,,28.48,4.05,-1.79,6.93,-0.34%,($193.00),($21.00),$1.79
SPDR GOLD TR GOLD SHS ETF,0,,.00,115.94,-.40,.00,.00,.00,.00,,$0.00,$0.00,
100 MAR 15 119 CALL,+2,29,4.35,1.065,-.245,61.01,12.49,-6.60,23.28,,($657.00),($49.00),
100 MAR 15 122 CALL,-2,29,2.81,.49,-.14,-32.54,-8.43,4.81,-16.35,,$464.00,$28.00,
GREK,+400,,12.75,12.82,-.02,400.00,.00,.00,.00,-0.16%,$28.00,$28.00,"$4,358.80"
GLOBAL X FUNDS GREECE 20 ETF,+400,,12.75,12.82,-.02,400.00,.00,.00,.00,,$28.00,$28.00,
HD,,,,,,31.13,4.41,-2.30,15.61,-0.94%,($54.50),($54.50),($6.06)
HOME DEPOT INC COM,0,,.00,110.94,-1.05,.00,.00,.00,.00,,$0.00,$0.00,
100 APR 15 115 CALL,+1,57,2.09,1.545,-.45,31.13,4.41,-2.30,15.61,,($54.50),($54.50),
KO,,,,,,154.99,74.10,-2.83,14.38,+0.91%,($33.00),$79.50,$6.29
COCA COLA CO COM,0,,.00,42.11,+.38,.00,.00,.00,.00,,$0.00,$0.00,
100 MAR 15 42 CALL,+3,29,.78,.67,+.265,154.99,74.10,-2.83,14.38,,($33.00),$79.50,
NGE,+600,,8.39,8.23,-.02,600.00,.00,.00,.00,-0.24%,($96.00),($96.00),"$4,197.30"
GLOBAL X FUNDS MSCI NIGERIA ETF,+600,,8.39,8.23,-.02,600.00,.00,.00,.00,,($96.00),($96.00),
PG,,,,,,79.13,-9.77,1.27,-7.01,-1.22%,$19.00,($74.00),"$7,246.37"
PROCTER GAMBLE CO COM,+100,,85.74,85.22,-1.04,100.00,.00,.00,.00,,($52.00),($104.00),
100 MAR 15 87.5 CALL,-1,29,1.05,.34,-.30,-20.87,-9.77,1.27,-7.01,,$71.00,$30.00,
SNDK,,,,,,-86.17,-2.99,2.75,-5.22,+0.57%,($326.00),($35.50),"($9,472.10)"
SANDISK CORP COM,-100,,76.95,82.41,+.47,-100.00,.00,.00,.00,,($546.00),($47.00),
100 MAR 15 75 PUT,-1,29,2.74,.54,-.115,13.83,-2.99,2.75,-5.22,,$220.00,$11.50,
SPY,,,,,,-22.86,1.23,-.27,7.12,-0.07%,($15.50),($3.50),$31.14
SPDR TR S&P 500 ETF TR,0,,.00,209.98,-.15,.00,.00,.00,.00,,$0.00,$0.00,
100 APR 15 200 PUT,-1,57,2.42,2.165,-.095,24.11,-2.12,4.12,-26.09,,$25.50,$9.50,
100 APR 15 209 PUT,+1,57,4.85,4.44,-.13,-46.97,3.35,-4.39,33.21,,($41.00),($13.00),
TSLA,,,,,,9.14,-.14,.55,-1.39,+3.54%,$55.00,$70.00,($205.00)
TESLA MOTORS INC COM,0,,.00,211.705,+7.245,.00,.00,.00,.00,,$0.00,$0.00,
100 MAR 15 205 CALL,+1,29,13.95,12.225,+3.925,64.43,1.74,-13.42,22.60,,($172.50),$392.50,
100 MAR 15 210 CALL,-1,29,11.55,9.275,+3.225,-55.29,-1.88,13.97,-23.99,,$227.50,($322.50),
USLV,+100,,24.95,20.40,-.12,100.00,.00,.00,.00,-0.93%,($455.00),($12.00),"$1,734.00"
CREDIT SUISSE AG VELOCITY 3X LONG SILVER ETN,+100,,24.95,20.40,-.12,100.00,.00,.00,.00,,($455.00),($12.00),
VXX,,,,,,21.49,4.26,-3.34,2.52,-2.24%,($191.50),($21.50),$18.00
BARCLAYS BANK PLC IPATH S&P 500 VIX SHORT TERM,0,,.00,30.12,-.69,.00,.00,.00,.00,,$0.00,$0.00,
100 MAR 15 37 CALL,+1,29,2.67,.755,-.215,21.49,4.26,-3.34,2.52,,($191.50),($21.50),
XOM,,,,,,-78.44,-5.06,2.96,-7.51,-1.73%,($50.50),$139.00,"($10,284.14)"
EXXON MOBIL CORPORATION COM,-100,,87.05,89.44,-1.57,-100.00,.00,.00,.00,,($239.00),$157.00,
100 MAR 15 85 PUT,-1,29,2.62,.735,+.18,21.56,-5.06,2.96,-7.51,,$188.50,($18.00),

Futures and Futures Options
Instrument,Exp,SPC,Qty,Days,Trade Price,Mark,Mrk Chng,% Change,P/L Open,P/L Day,BP Effect
/6J,,,+1,,.008389,.008413,+.000007,+0.08%,$300.00,$87.50,"($3,300.00)"
"Japanese Yen Futures,Mar-2015,ETH",MAR 15,1/12500000,+1,25,.008389,.008413,+.000007,,$300.00,$87.50,
/NG,,,+1,,2.839,2.814,-.02,-0.71%,($250.00),($200.00),"($4,235.00)"
"Natural Gas Futures,Mar-2015,ETH",FEB4 15,1/10000,+1,6,2.839,2.814,-.02,,($250.00),($200.00),
/NQ,,,-1,,4153.50,4414.50,+1.25,+0.03%,"($5,220.00)",($25.00),"($3,960.00)"
"E-mini Nasdaq 100 Index Futures,Mar-2015,ETH",MAR 15,1/20,-1,29,4153.50,4414.50,+1.25,,"($5,220.00)",($25.00),
/QM,,,,,,,,+1.11%,"($3,287.50)",$17.50,"($2,695.00)"
"NYMEX miNY Light Sweet Crude Oil Futures,Mar-2015,ETH",FEB 15,1/500,-1,0,44.55,51.125,-.035,,"($3,287.50)",$17.50,

Cash & Sweep Vehicle,"$39,338.91"
OVERALL P/L YTD,"($6,320.86)"
BP ADJUSTMENT,$0.00
OVERNIGHT FUTURES BP,"$21,017.56"
AVAILABLE DOLLARS,"$21,017.56"

Forex
Instrument,Qty,Trade Price,Mark,Mrk Chng,% Change,P/L Open,P/L Day,BP Effect
AUD/SGD,+10000,1.0583,1.0611,+.0002,0.00%,$84.58,($0.37),($371.78)
AusDollar/Singapore Dollar Spot,+10000,1.0583,1.06110,+.0002,,$84.58,($0.37),
GBP/USD,0,.00,1.543155,-.001705,+0.10%,$0.00,$0.00,$0.00
GBPound/US Dollar Spot,0,.00,1.543155,-.001705,,$0.00,$0.00,
HKD/JPY,+10000,15.331,15.3265,+.03595,0.00%,($3.61),$2.56,($129.74)
HKDollar/Japanese Yen Spot,+10000,15.331,15.32650,+.03595,,($3.61),$2.56,
USD/JPY,+10000,118.9398,118.8835,+.2515,-0.06%,($89.47),$20.45,($205.45)
USDollar/Japanese Yen Spot,+10000,118.9398,118.8835,+.2515,,($89.47),$20.45,
USD/THB,-10000,32.5341,32.563,-.001,0.00%,($55.55),($55.55),($531.91)
USDollar/Thai Baht,-10000,32.5341,32.563,-.001,,($55.55),($55.55),

FOREX CASH WITH UPL,"$10,478.78"
AVAILABLE DOLLARS,"$9,239.91"
