This document was exported from the paperMoney® platform which provides a simulated trading environment. All data contained herein is for educational and entertainment purposes only. TD Ameritrade its subsidiaries and/or affiliates are not responsible for the accuracy of any of these exported data.

Position Statement for D-12644969 (pm) on 2/12/15 05:48:17

Equities and Equity Options
Instrument,Qty,Days,Trade Price,Mark,Mrk Chng,Delta,Gamma,Theta,Vega,% Change,P/L Open,P/L Day,BP Effect
GENERAL ELECTRIC CO COM,0,,.00,24.83,+.11,.00,.00,.00,.00,,$0.00,$0.00,
100 MAR 15 25 CALL,+10,37,.20,.265,-.005,405.66,419.04,-3.91,30.82,,$65.00,($5.00),
GLD,,,,,,29.73,2.10,-1.13,5.03,-1.18%,($133.00),($47.00),$10.04
SPDR GOLD TR GOLD SHS ETF,0,,.00,117.07,-1.40,.00,.00,.00,.00,,$0.00,$0.00,
100 MAR 15 119 CALL,+2,37,4.35,1.90,-.62,80.51,11.34,-7.02,29.23,,($490.00),($124.00),
100 MAR 15 122 CALL,-2,37,2.81,1.025,-.385,-50.78,-9.24,5.89,-24.20,,$357.00,$77.00,
IBM,,,,,,45.17,7.02,-6.27,30.75,-0.23%,($14.00),($18.00),($41.26)
INTL BUSINESS MACHINES COM,0,,.00,158.60,+.04,.00,.00,.00,.00,,$0.00,$0.00,
100 MAR 15 165 CALL,+2,37,1.16,1.09,-.09,45.17,7.02,-6.27,30.75,,($14.00),($18.00),
JPM,,,,,,20.44,-5.37,1.01,-3.87,-0.15%,$81.80,($4.00),($380.40)
JP MORGAN CHASE & CO COM,0,,.00,58.58,+.12,.00,.00,.00,.00,,$0.00,$0.00,
100 MAR 15 52.5 PUT,+2,37,.76,.285,+.029,-21.61,7.05,-2.67,7.03,,($95.00),$5.80,
100 MAR 15 55 PUT,-2,37,1.46,.576,+.049,42.04,-12.42,3.68,-10.91,,$176.80,($9.80),
KO,,,,,,172.45,64.04,-2.45,15.99,-0.07%,$39.00,($21.00),($1.17)
COCA COLA CO COM,0,,.00,42.40,0,.00,.00,.00,.00,,$0.00,$0.00,
100 MAR 15 42 CALL,+3,37,.78,.91,-.07,172.45,64.04,-2.45,15.99,,$39.00,($21.00),
PG,,,,,,70.78,-9.51,1.45,-9.47,+0.29%,$31.00,$22.50,"$7,283.53"
PROCTER GAMBLE CO COM,+100,,85.74,85.65,+.26,100.00,.00,.00,.00,,($9.00),$26.00,
100 MAR 15 87.5 CALL,-1,37,1.05,.65,+.035,-29.22,-9.51,1.45,-9.47,,$40.00,($3.50),
SNDK,,,,,,-76.99,-3.82,3.23,-7.88,+1.68%,($181.00),($103.50),"($9,246.89)"
SANDISK CORP COM,-100,,76.95,80.38,+1.33,-100.00,.00,.00,.00,,($343.00),($133.00),
100 MAR 15 75 PUT,-1,37,2.74,1.12,-.295,23.01,-3.82,3.23,-7.88,,$162.00,$29.50,
SPY,,,,,,13.30,-.92,.95,-5.74,+0.06%,$103.50,$7.50,($508.26)
SPDR TR S&P 500 ETF TR,0,,.00,208.21,+1.40,.00,.00,.00,.00,,$0.00,$0.00,
100 MAR 15 199 PUT,+3,37,4.43,1.925,-.17,-71.15,6.92,-16.81,62.27,,($751.50),($51.00),
100 MAR 15 201 PUT,-3,37,5.18,2.33,-.195,84.46,-7.85,17.76,-68.01,,$855.00,$58.50,
TSLA,,,,,,5.36,-.02,.67,-.68,-1.61%,($2.50),($102.50),($262.50)
TESLA MOTORS INC COM,0,,.00,211.00,-5.29,.00,.00,.00,.00,,$0.00,$0.00,
100 MAR 15 205 CALL,+1,37,13.95,17.75,-2.875,60.01,1.04,-18.87,26.29,,$380.00,($287.50),
100 MAR 15 210 CALL,-1,37,11.55,15.375,-1.85,-54.65,-1.06,19.54,-26.97,,($382.50),$185.00,
USLV,+100,,24.95,22.13,-.48,100.00,.00,.00,.00,-2.12%,($282.00),($48.00),"$1,881.05"
CREDIT SUISSE AG VELOCITY 3X LONG SILVER ETN,+100,,24.95,22.13,-.48,100.00,.00,.00,.00,,($282.00),($48.00),
VXX,,,,,,38.32,4.61,-4.17,4.10,+0.48%,($73.00),($18.50),$60.05
BARCLAYS BANK PLC IPATH S&P 500 VIX SHORT TERM,0,,.00,33.31,+.16,.00,.00,.00,.00,,$0.00,$0.00,
100 MAR 15 37 CALL,+1,37,2.67,1.94,-.185,38.32,4.61,-4.17,4.10,,($73.00),($18.50),
XOM,,,,,,-80.82,-4.00,2.58,-8.00,-0.45%,($182.00),$23.00,"($10,438.48)"
EXXON MOBIL CORPORATION COM,-100,,87.05,90.74,-.27,-100.00,.00,.00,.00,,($369.00),$27.00,
100 MAR 15 85 PUT,-1,37,2.62,.75,+.04,19.18,-4.00,2.58,-8.00,,$187.00,($4.00),

Futures and Futures Options
Instrument,Exp,SPC,Qty,Days,Trade Price,Mark,Mrk Chng,% Change,P/L Open,P/L Day,BP Effect
/6J,,,+1,,.008389,.008304,-.000071,-0.85%,"($1,062.50)",($887.50),"($3,300.00)"
"Japanese Yen Futures,Mar-2015,ETH",MAR 15,1/12500000,+1,33,.008389,.008304,-.000071,,"($1,062.50)",($887.50),
/NG,,,0,,.00,2.828,+.031,+5.64%,$0.00,$310.00,$0.00
"Natural Gas Futures,Mar-2015,ETH",FEB4 15,1/10000,0,14,.00,2.828,+.031,,$0.00,$310.00,
/NQ,,,-1,,4153.50,4318.00,+42.00,+0.98%,"($3,290.00)",($840.00),"($3,960.00)"
"E-mini Nasdaq 100 Index Futures,Mar-2015,ETH",MAR 15,1/20,-1,37,4153.50,4318.00,+42.00,,"($3,290.00)",($840.00),
/QM,,,-1,,44.55,49.425,+.585,-1.20%,"($2,437.50)",($292.50),"($2,695.00)"
"NYMEX miNY Light Sweet Crude Oil Futures,Mar-2015,ETH",FEB 15,1/500,-1,8,44.55,49.425,+.585,,"($2,437.50)",($292.50),

Cash & Sweep Vehicle,"$49,537.70"
OVERALL P/L YTD,"($4,516.70)"
BP ADJUSTMENT,$0.00
OVERNIGHT FUTURES BP,"$28,985.76"
AVAILABLE DOLLARS,"$28,985.76"

Forex
Instrument,Qty,Trade Price,Mark,Mrk Chng,% Change,P/L Open,P/L Day,BP Effect
AUD/SGD,+10000,1.052778,1.050425,-.003405,-0.14%,$3.56,($27.03),($405.10)
AusDollar/Singapore Dollar Spot,+10000,1.052778,1.050425,-.003405,,$3.56,($27.03),
HKD/JPY,+10000,15.4033,15.53295,+.1101,0.00%,$13.65,$8.69,($118.77)
HKDollar/Japanese Yen Spot,+10000,15.4033,15.53295,+.1101,,$13.65,$8.69,
USD/JPY,+10000,119.43,120.452,+.8575,+0.86%,$40.86,$70.34,($115.99)
USDollar/Japanese Yen Spot,+10000,119.43,120.452,+.8575,,$40.86,$70.34,
USD/SEK,0,.00,8.38235,+.0572,+0.95%,$0.00,$0.00,$0.00
USDollar/Swedish Krona Spot,0,.00,8.38235,+.0572,,$0.00,$0.00,
USD/THB,0,.00,32.66,+.018,0.00%,$0.00,$0.00,($500.00)
USDollar/Thai Baht,0,.00,32.660,+.018,,$0.00,$0.00,

FOREX CASH WITH UPL,"$10,399.72"
AVAILABLE DOLLARS,"$9,259.86"
